Gender,Text,Description,User Name,User Screen Name,Text Color,Link Color,Sidebar Color,Border Color,Background Color
,10 REASONS WHY FLU SHOTS ARE MORE DANGEROUS THAN A FLU World,,WorldTruth TV,Eddie1Levin,333333,9999,EFEFEF,EEEEEE,131516
,NBrookThomas AustinKellerman WITH OT WITHOUT THE FLU SHOT Why is that always left out,,smegma,piggerrific,333333,0084B4,DDEEF6,C0DEED,C0DEED
,RT MsSTL79 ugh i hate ppl like this RT RJC 1972 Lady if your still suffering from the flu keep yo ass at home until well ok,,RJC 1972,RJC 1972,333333,0084B4,DDEEF6,C0DEED,C0DEED
,The flu shot is a fraud But it s a fraud that s so deeply embedded in the delusional pro vaccine culture of the,,David Leal,DavidLeal16,333333,38543,F6F6F6,EEEEEE,398F81
,FUCK YOU FLU AND DON T EVEN TRY TO COME AFTER ME BECAUSE I M GONNA BE PREPARED,,Hollywood,realrecognize,333333,0084B4,DDEEF6,FFFFFF,C0DEED
,I hope I didn t catch a weird bird flu from little red headed woodpecker who was coughing up blood my throat feels like daggers r piercing,,Andrea Allegrone,andreaallegrone,333333,0084B4,DDEEF6,C0DEED,C0DEED
,RT ABC7 5 year old girl dies after catching the flu even after getting vaccine,,Ellie P Rose,EllieProck,333333,89C9FA,DDEEF6,FFFFFF,C0DEED
,The flu is seriously the worst thing This sucks,,Erika B Werner,erika werner,333333,990000,F3F3F3,FFFFFF,EBEBEB
,Household Cleaning Tips for Cold and Flu Season In the midst of cold and flu season you re often greeted wit,,Bruce S Preble,constanthealth,3E4415,D02B55,99CC33,829D5E,352726
,Patriots Brady fighting flu bug New England Patriots quarterback Tom Brady is in the fourth or fifth day fighting,,Des Moines Daily,desmoinesdaily,333333,0084B4,DDEEF6,C0DEED,C0DEED
,swineflu travel Swine flu spreads to Telangana Andhra Pradesh districts,,Global Travel News,globeizer,0,946D31,3CB43C,6CB9B8,F7F3F7
,Everybody got the flu at my house but me since last friday really aint da place to be,,Andre Hall,DreskiHall,333333,191F94,DDEEF6,FFFFFF,B1B7BA
,RT Delaware DHSS Flu season is hard on elderly and vulnerable populations Learn more about prevention,,Kent County Tourism,DelawareCapital,3C3940,F20E21,85BFFC,28A4F7,0043B8
,Ya boy feeling like he got h1n1,,Big A,alex valdez936,333333,0084B4,DDEEF6,C0DEED,C0DEED
,RT TIMENOUT ILLEGALS W SCABIES LICE SCABIES CPOX MEASLES H1N1 SWINE FLU FREE HC HOUSING FOOD STAMPS amp THEY BURN OUR FLAG,,nanah,atestafyr,333333,B300B3,DDEEF6,C0DEED,C0DEED
,RT TIMENOUT ILLEGALS W SCABIES LICE SCABIES CPOX MEASLES H1N1 SWINE FLU FREE HC HOUSING FOOD STAMPS amp THEY BURN OUR FLAG,,michael mullarkey,Mullarx,333333,0084B4,DDEEF6,C0DEED,C0DEED
,I thought I had something political to say Turns out it s just a bad case of H1N1 I m so relieved,,Jordie Roberts,Jordie isa punk,333333,0084B4,DDEEF6,C0DEED,C0DEED
,After SARS WNV H1N1 Bird Flu and Measles 2015 panic by MDs media and Public Health when we finally have something really,,Jay Gordon MD FAAP,JayGordonMDFAAP,333333,0084B4,DDEEF6,FFFFFF,C0DEED
