User ID,Text,User Name,User Screen Name,Text Color,Link Color,Sidebar Color,Border Color,Background Color,Created At,Hour,Sleep Time
560234508327202816,daysbeforerodeo 2011 Swine flu 2012 Mayan Calender 2013 Staff infection 2014 Ebola 2015 FourFiveSeconds excuse you,andrea,andrealeafs,333333,D48AE6,EFEFEF,FFFFFF,131516,Sun Oct 16 05:13:23 +0000 2011,05,1
560234591190274048,RealClearScott everyone must have the flu That s the only possible explanation for this,Karen Travers,karentravers,333333,0084B4,DDEEF6,C0DEED,C0DEED,Wed Jun 17 17:24:43 +0000 2009,17,0
560234681329664001,RT cenayda aka cc FML Fuck the flu,Marco LBF,2MASF2,FF0303,F00505,000000,000000,352726,Tue May 03 08:25:37 +0000 2011,08,0
560235005939441664,pammayyyy lmao I don t think anymore I had the flu but now it s just a cold it s not as bad,Lina,wavy xo,CE7834,89C9FA,78C0A8,000000,FCEBB6,Fri Nov 18 15:50:25 +0000 2011,15,0
560235106892513281,A 5 Year Old Girl Just Died of the Very Strain of Flu She Was Vaccinated Against via po st,Mary Cavanaugh,max4metals,333333,0084B4,DDEEF6,C0DEED,C0DEED,Wed Jan 26 22:16:31 +0000 2011,22,0
560235136139411456,5 Year Old Las Vegas Girl Dies From Flu Despite Receiving Vaccination,Katilyn Kleveno,KatiLovesEvery1,00FF15,00FFE1,FFA200,FFFFFF,FF007B,Thu Jun 11 22:40:51 +0000 2009,22,0
560235170847260672,Well y all It s official Tested positive for the flu See ya in a few days,Courtney McKenna,CourtLMc,333333,0084B4,DDEEF6,C0DEED,C0DEED,Mon Apr 25 20:04:58 +0000 2011,20,0
560235211263193088,Have to reschedule my South Alabama visit until February due to the flu,kory,korynicolee,333333,038543,DDEEF6,FFFFFF,099981,Tue Jan 03 03:16:03 +0000 2012,03,1
560235591846359040,Flu shot hoax admitted,The Eric Erb Show,TheEricErbShow,3D1957,1100FF,7AC3EE,FFFFFF,642D8B,Sat Oct 06 20:08:46 +0000 2012,20,0
560235771719073792,Norman Powell missed practice today due to some kind of sickness Alford was asked if it was the flu I hope not he said,Ryan Kartje,Ryan Kartje,333333,009999,EFEFEF,EEEEEE,131516,Sat Apr 04 01:10:55 +0000 2009,01,1
560235910898675712,Flu shot hoax admitted No controlled trials demonstrating a decrease in influenza,The Eric Erb Show,TheEricErbShow,3D1957,1100FF,7AC3EE,FFFFFF,642D8B,Sat Oct 06 20:08:46 +0000 2012,20,0
560235969388216321,CNN Master of stating the blooming obvious Next week will be the replacement anchors cos this lot will be in bed with the flu,Gail,ourgail,333333,0099CC,F6FFD1,FFF8AD,FFF04D,Tue Mar 03 17:57:47 +0000 2009,17,0
560235988036124672,kaylyl97 Is it the flu That s going around,Ciera Richards,CieraaRichards,843AA9,7BB3DC,E32820,FFA400,FFFFFF,Sat Apr 28 01:41:17 +0000 2012,01,1
560236144739495937,bktattedup just sick an tire of bein sick and tired Strep with the flu is weak asf The drugs make in me grouchy lol,NIKOLI,wiizzyworth,009999,333333,EFEFEF,EEEEEE,131516,Sat Feb 11 22:28:36 +0000 2012,22,0
560236154323472384,I should have known that hoarding sick days for maternity leave would lead to a stomach bug At least it wasn t the flu,Emily,LABride,000000,CA47CB,B3A7EC,551B55,FFFFFF,Sun Feb 08 14:42:47 +0000 2009,14,0
560236313237278720,RT DFSPIO DYK the symptoms of CO poisoning are like flu headache dizziness nausea Have CO alarms,NortheasternMassMRC,NortheasternMRC,333333,0084B4,DDEEF6,C0DEED,C0DEED,Wed Nov 16 22:26:27 +0000 2011,22,0
560236517516640256,RT CopelandNetwork This time of year the flu starts making its rounds Here are 10 scriptures to help you stand strong against it,Tyronnica,ronnilew,333333,0084B4,DDEEF6,C0DEED,C0DEED,Mon Mar 28 05:04:57 +0000 2011,05,1
560236556678479873,First Flu Related Death Reported in Santa Clara Co,Local News Feeds,localnewsfeeds,333333,0084B4,DDEEF6,C0DEED,C0DEED,Sun Jul 13 03:52:31 +0000 2014,03,1
560236591386345473,First Flu Related Death Reported in Santa Clara Co,San Francisco Press,SanFranciscoCP,2A2C31,8A1C3B,FFFFFF,FFFFFF,FFFFFF,Mon Jul 27 01:40:54 +0000 2009,01,1
560236611678375936,Alex brought me Popsicles and cranberry juice bc I m sick with the flu,kyyyyyz,kyraapaarker,333333,C400FF,DDEEF6,000000,642D8B,Wed Aug 07 00:41:38 +0000 2013,00,1
560236736605736960,New bird flu outbreaks reported in NW Wa State amp Cal but Ag officials say Benton Co WA Clean lift quarantine,gary chittim,gchittimK5,333333,0084B4,DDEEF6,FFFFFF,C0DEED,Wed May 12 17:42:44 +0000 2010,17,0
560237111018680320,With flu amp recent weather the RedCross needs healthy donors esp w type O A amp B blood givenow,redcrossbloodCL,redcrossbloodCL,333333,0084B4,DDEEF6,FFFFFF,C0DEED,Wed Dec 21 18:48:02 +0000 2011,18,0
560237211430301696,Unless you want the flu I don t think you want to be coming here,Arden Cunniff,ArdenCunniff2,333333,0084B4,DDEEF6,C0DEED,C0DEED,Mon Nov 04 23:47:37 +0000 2013,23,0
560237427743551489,if my teacher still has the flu we don t have to turn in notes tomorrow I m a terrible person,mia,MiaGiovenco,333333,0084B4,DDEEF6,C0DEED,C0DEED,Wed Jun 26 22:22:03 +0000 2013,22,0
560237538976075776,I getting the flu when I have 72839 things to do,Braidy,braidymills,333333,93A644,FFFFFF,FFFFFF,B2DFDA,Sun Sep 11 19:28:38 +0000 2011,19,0
560237870414569472,Shoutout to the flu for ruining our week mitchellhaag,Lauren Faulds,LoRider,A819A8,F70094,000000,000000,642D8B,Fri Apr 09 22:01:28 +0000 2010,22,0
560237880690221057,Deandevlin510 I would if not for the flu lol Austin told me to stay away from him for a week,Psychonaut Todd,todd sfvog,333333,0084B4,DDEEF6,C0DEED,C0DEED,Tue Nov 04 22:18:26 +0000 2014,22,0
560238029051551745,The flu bug has hit our home Consider this a quarantined area Think World War Z bad people barfingzombies,Danielle Gilman,GilmanDanielle,333333,0084B4,DDEEF6,C0DEED,C0DEED,Wed Aug 15 23:11:06 +0000 2012,23,0
560238081274437633,Deandevlin510 Maybe not the flu but hella sick I shouldn t have even tried to go to school yesterday lol,Psychonaut Todd,todd sfvog,333333,0084B4,DDEEF6,C0DEED,C0DEED,Tue Nov 04 22:18:26 +0000 2014,22,0
560238083145486336,Tips for Cold and Flu Prevention via aboutamom,TerriAnn van Gosliga,cookiesANDclogs,333333,599CB1,EEEEEE,FFFFFF,599CB1,Thu May 06 01:26:50 +0000 2010,01,1
560238121087143937,Flu bug has arrived at my house in full force Now Cooper is on the couch for the night with the bucket by his,Mina Daigle,Daigle76,333333,0099CC,F6FFD1,FFF8AD,FFF04D,Mon Jun 01 14:09:33 +0000 2009,14,0
560238206436667392,hulk jizz TheRealMcFarlin Flu,Andrew,AJwright33,000000,89C9FA,000000,000000,000000,Sun Jul 08 02:15:31 +0000 2012,02,1
560238374838349825,See aMothersEarth s Remedies for Cold Flu Season Five Natural AmericanMade Goods,USA Love List,USAlovelist,333333,CC3366,E6F6F9,DBE9ED,DBE9ED,Mon Aug 22 04:02:20 +0000 2011,04,1
560238422292721664,bitty31985 Better some badass flu or NSA PAO beam weapon,firemanjohn628,firemanjohn628,448668,004358,000B17,FFFFFF,001329,Sun May 23 19:17:49 +0000 2010,19,0
560238424930918400,JusticeMorris4 jennaboo7777 u might think its the flu but it might actually be ghonaherpashylitus,Mean Boy Troy,xander244,333333,0084B4,DDEEF6,C0DEED,C0DEED,Thu Jul 22 03:39:12 +0000 2010,03,1
560238431889293313,RT ABCNewsRadio 5 Year Old Girl Dies After Catching the Flu,Mike Wood,theovertime1410,333333,0084B4,DDEEF6,C0DEED,C0DEED,Thu Jul 07 00:26:25 +0000 2011,00,1
560238768179777536,RJ GatorBait JD and Dave Rumor is Jurry Duty Darian flu,Cassie Laberee,JGR11201819fan,666666,FA743E,252429,FFFFFF,DD2E44,Wed Feb 25 18:02:37 +0000 2009,18,0
560238804817444864,The Washington State Department of Agriculture has lifted the Bird Flu quarantine that had been in affect in,NBC Right Now,KNDUTV,333333,0084B4,DDFFCC,BDDCAD,9AE4E8,Tue Mar 24 17:10:11 +0000 2009,17,0
560238985352855552,My baby has the flu,Sharda Grissom,grissom sharda,333333,0084B4,DDEEF6,C0DEED,C0DEED,Fri Jul 27 07:15:05 +0000 2012,07,0
560239001811320832,The Washington State Department of Agriculture has lifted the Bird Flu quarantine that had been in affect in,NBC Right Now,KNDOTV,333333,CC3366,DDFFCC,FFFFFF,DBE9ED,Thu Jul 30 23:08:13 +0000 2009,23,0
560239222028648448,Whatever was left in my stomach is now in my master bathroom toilet How is that for a livetweet I hate the damn flu,Ry Eph,RyEph,666666,2FEDAE,252429,FFFFFF,B3B5BD,Sun Apr 21 15:37:28 +0000 2013,15,0
560239302131855360,I wish there was a way to instantly get rid of the flu fever cold,Chandlerr,ChaanChannn,333333,00B39B,DDEEF6,C0DEED,C0DEED,Fri Aug 24 23:18:33 +0000 2012,23,0
560239560819752960,Been sick with the flu last 3 nights but I m so lucky to have Zach CitybitCh he went above and beyond and took such good care of me Ily,chels,csadecki,72AE95,F1C972,F3E6BC,5A3226,F5886B,Sun Jul 15 19:44:29 +0000 2012,19,0
560239962637873153,parody bit MagpieLibrarian yea me too re immuno suppressed Anyone who hasn t gotten flu whooping measles stay away,Gayathri K,gayathrikamath,333333,0084B4,DDEEF6,C0DEED,C0DEED,Mon Jan 10 20:13:49 +0000 2011,20,0
560240508313030656,First Flu Death In 2015 Logged In Santa Clara County,Cupertino Patch,CuprtinoCAPatch,3E4415,D02B55,99CC33,829D5E,352726,Tue Dec 14 06:00:32 +0000 2010,06,0
